"fips","SCC","Pollutant","Emissions","type","year"
"12055","2103001000","PM25-PRI",0.011,"NONPOINT",1999
"12057","10100201","PM25-PRI",3326.424,"POINT",1999
"12057","10100212","PM25-PRI",442.813,"POINT",1999
"12057","2103001000","PM25-PRI",0.411,"NONPOINT",1999
"12057","2103002000","PM25-PRI",0.053,"NONPOINT",1999
"12061","2103001000","PM25-PRI",0.032,"NONPOINT",1999
"12063","10100202","PM25-PRI",152.363,"POINT",1999
"12063","2103001000","PM25-PRI",0.011,"NONPOINT",1999
"12069","2103001000","PM25-PRI",0.011,"NONPOINT",1999
"12071","2103001000","PM25-PRI",0.036,"NONPOINT",1999
"12071","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"12073","2103001000","PM25-PRI",0.011,"NONPOINT",1999
"12073","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"12081","2103001000","PM25-PRI",0.011,"NONPOINT",1999
"12081","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"12083","2103001000","PM25-PRI",0.011,"NONPOINT",1999
"12083","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"12085","10100201","PM25-PRI",57.271,"POINT",1999
"12085","2103001000","PM25-PRI",0.032,"NONPOINT",1999
"12086","2103001000","PM25-PRI",0.951,"NONPOINT",1999
"12086","2103002000","PM25-PRI",0.117,"NONPOINT",1999
"12087","2103001000","PM25-PRI",0.032,"NONPOINT",1999
"12089","10200202","PM25-PRI",29.963,"POINT",1999
"12089","2103001000","PM25-PRI",0.011,"NONPOINT",1999
"12091","2103001000","PM25-PRI",0.011,"NONPOINT",1999
"12093","2103001000","PM25-PRI",0.011,"NONPOINT",1999
"12095","10100202","PM25-PRI",792.503,"POINT",1999
"12095","2103001000","PM25-PRI",0.063,"NONPOINT",1999
"12095","2103002000","PM25-PRI",0.053,"NONPOINT",1999
"12097","2103001000","PM25-PRI",0.032,"NONPOINT",1999
"12099","2103001000","PM25-PRI",0.345,"NONPOINT",1999
"12099","2103002000","PM25-PRI",0.03,"NONPOINT",1999
"12101","2103001000","PM25-PRI",0.011,"NONPOINT",1999
"12101","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"12103","2103001000","PM25-PRI",0.389,"NONPOINT",1999
